@relation 'position-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4,6'

@attribute class {rest,index,pinch_1,pinch_3,fist,spread}
@attribute A_mean numeric
@attribute A_median numeric
@attribute A_variance numeric
@attribute B_mean numeric
@attribute B_median numeric
@attribute B_variance numeric
@attribute C_mean numeric
@attribute C_median numeric
@attribute C_variance numeric
@attribute D_mean numeric
@attribute D_median numeric
@attribute D_variance numeric
@attribute E_mean numeric
@attribute E_median numeric
@attribute E_variance numeric
@attribute F_mean numeric
@attribute F_median numeric
@attribute F_variance numeric
@attribute G_mean numeric
@attribute G_median numeric
@attribute G_variance numeric
@attribute H_mean numeric
@attribute H_median numeric
@attribute H_variance numeric

@data
rest,-1.3,-1,0.81,-1.2,0,4.36,-2.1,-2,45.69,-6.5,-8,1102.45,-5.9,-2,378.69,-2.4,-2,9.44,-1.7,-1,7.01,-1.4,-1,2.44
rest,-1.1,0,2.09,-1.3,-1,5.01,-1.2,-1,13.96,-0.7,2,179.21,1.3,1,142.61,0.5,-1,25.25,-1.3,-1,10.61,-1,-1,2
rest,-1.3,-1,2.61,-0.8,-1,1.36,-0.4,0,15.04,3.9,11,1125.29,1.9,0,312.89,-0.8,-1,39.96,-1.2,-1,2.36,-1,-1,1.6
rest,-1.1,-1,1.69,-1.3,-1,4.81,-1.2,-2,17.56,0.3,-5,555.01,-0.4,-3,167.64,-1.7,0,28.61,-0.8,-1,3.76,-1.1,-1,2.89
rest,-1.1,-1,1.29,-1.2,-1,2.76,-1.2,-1,9.36,-3.4,-4,573.84,-4.1,1,136.29,-1,-2,9.2,-1.8,-1,18.76,-0.8,-1,1.76
rest,-1,-1,1.6,-1.1,-1,3.09,-1.6,-2,7.64,-1,1,253.4,-2.1,0,190.29,-0.4,0,12.84,-1.1,-1,7.29,-1.7,-1,4.41
rest,-1.2,-1,2.76,-1.4,-1,3.64,-0.7,0,5.41,0,12,499.4,2.1,4,150.69,-1.3,-2,9.41,-1.1,-1,3.29,-1,0,2.4
rest,-1.7,-1,2.41,-1.7,-1,2.61,-1.5,-2,6.25,-3.5,2,212.65,-3.3,-2,150.41,-1.4,-1,8.64,-1.1,-1,4.49,-1.3,-2,6.41
rest,-0.8,-1,0.36,-0.8,0,4.56,-1.7,-2,13.21,-3.8,0,68.96,-1.3,1,90.21,-2.1,-1,13.49,-1.3,-1,1.01,-1.3,-1,1.81
rest,-1.5,-1,1.85,-1,-1,3,-0.6,1,8.64,0,-5,155.8,0.2,-2,77.16,-0.3,0,9.01,-0.6,-1,1.84,-1.1,-1,2.69
rest,-1.2,-1,0.76,-1.4,-1,2.24,-2.2,-2,3.16,-9.7,2,468.01,-6.4,2,173.24,-1.1,-1,5.49,-1.3,-1,6.21,-1.1,-1,3.09
rest,-1.2,-1,1.56,-1.9,-2,2.89,-1.8,-2,13.36,-1.6,0,479.64,-1.5,4,234.85,-0.9,0,7.49,-1.3,-1,4.21,-1.4,-1,3.64
rest,-0.8,0,0.76,-0.8,0,1.96,-0.7,-1,18.21,2.8,0,936.16,-1,1,173.6,-1.2,-2,7.36,-1.5,-2,1.45,-1.1,-1,1.69
rest,-1.7,-1,3.81,-1.8,-2,4.76,-1.5,-2,5.05,-2.7,1,271.01,-1,-1,125.2,-1.3,0,8.81,-0.8,0,4.56,-1.6,-2,7.64
rest,-0.5,-1,1.85,-0.9,-1,3.89,-1.2,-1,11.56,-5.4,-4,128.04,-1.7,-2,69.41,-0.1,0,6.49,-1,-1,9.2,-1.3,-1,5.21
rest,-1.2,-1,1.56,-1.2,0,1.56,-0.6,1,13.04,-0.7,6,225.41,0.4,2,154.64,-1.4,-1,4.84,-0.8,-1,2.76,-0.9,-1,1.29
rest,-1.6,-1,1.44,-0.9,-1,2.89,-2.6,-3,9.44,-3,-3,145.2,-1.5,0,48.65,-1.9,-1,6.69,-1.3,-1,2.01,-1.6,-1,5.24
rest,-1.3,-1,1.81,-2.1,-2,2.29,-1.6,-1,4.84,-4.8,3,555.16,-4.8,-6,63.76,-2.3,-2,2.61,-1.8,-2,1.76,-1.1,-1,1.89
rest,-1.4,-1,3.44,-1.1,-1,3.89,-1.8,-1,18.56,-1.4,-2,591.04,-2.4,-2,336.04,-1.6,-2,25.24,-1.6,-1,2.84,-1.6,-2,3.84
rest,-1.4,-1,1.04,-1.5,-2,7.05,-1.7,-1,11.61,-5,5,237.8,-3.2,-4,86.56,-0.6,-1,20.84,-1.1,-1,5.29,-0.9,-1,10.29
rest,-1.2,-1,1.76,-1.2,-1,1.56,-1.4,-1,13.44,-5.3,8,427.41,-1,1,173.6,-1.4,-2,9.64,-1.6,-2,5.24,-1.5,-1,2.05
rest,-1.2,-1,0.56,-1.3,-1,3.21,-0.7,-1,6.21,1.9,6,272.49,2,2,101.6,-0.4,0,15.04,-0.8,-1,2.56,-1.3,-1,2.01
rest,-1.4,-1,1.84,-1,-1,2.8,-0.8,1,8.76,0.2,7,365.36,0.8,1,94.56,-1.1,-2,9.09,-0.8,-1,3.16,-1,-1,3.6
rest,-1.3,-1,1.01,-1.9,-1,3.49,-1.7,-1,13.41,-3.5,-3,148.65,-2.8,-3,98.76,-0.9,-2,17.49,-1,-2,6.6,-1.5,-2,5.65
rest,-1.4,-1,1.44,-1.7,-1,10.81,-1.5,-2,19.45,-0.6,0,562.04,0.2,3,105.16,-1.5,0,6.05,-1.6,-1,2.04,-1.2,-1,1.36
rest,-0.9,-1,3.09,-1.5,-2,8.05,-1.2,0,17.96,1.2,8,425.16,0.7,-1,445.81,-0.7,0,20.81,-1,-1,2.4,-1.6,-2,9.64
rest,-1,-1,1.2,-1.2,-1,2.76,-1.3,-1,7.41,-2.5,1,176.65,-2,-1,89.2,-1.3,-1,4.21,-1.5,-1,2.45,-1.5,-1,1.45
rest,-0.7,0,1.81,-0.9,-1,1.89,0,0,19.8,6.5,3,302.85,0.1,-3,181.49,-1,-2,16.2,-0.6,-1,5.24,-1.1,-1,5.89
rest,-1.3,-1,1.01,-1.3,-1,0.81,-1.8,-1,6.56,-7.3,-3,313.61,-4.7,-2,82.61,-0.7,0,2.61,-1.2,-1,0.76,-0.8,-1,1.16
rest,-1.7,-2,2.01,-1.5,-1,3.45,-1.2,0,34.16,1.2,-7,754.36,-2.1,-6,154.89,-1.6,-2,16.04,-1.2,-1,5.36,-0.6,0,2.44
